P,K,C,val_acc,delta_sota
7,1600,0.005,0.7698,0.0020000000000000018
7,1600,0.01,0.7702,0.0023999999999999577
7,1600,0.02,0.7686,0.0007999999999999119
7,1600,0.03,0.7636,-0.0042000000000000925
7,2000,0.003,0.7668,-0.0010000000000000009
7,2000,0.005,0.7696,0.0017999999999999128
7,2000,0.01,0.7664,-0.0014000000000000679
7,2000,0.02,0.7588,-0.009000000000000008
7,2000,0.03,0.758,-0.009800000000000031
7,2400,0.003,0.7658,-0.0020000000000000018
7,2400,0.005,0.768,0.00019999999999997797
7,2400,0.01,0.7658,-0.0020000000000000018
7,2400,0.02,0.7636,-0.0042000000000000925
7,2400,0.03,0.7592,-0.008600000000000052
7,3200,0.003,0.7788,0.01100000000000001
7,3200,0.005,0.7796,0.011799999999999922
7,3200,0.01,0.777,0.009199999999999986
7,3200,0.02,0.771,0.0031999999999999806
7,3200,0.03,0.7664,-0.0014000000000000679
7,4000,0.003,0.7824,0.014599999999999946
7,4000,0.005,0.7786,0.01079999999999992
7,4000,0.01,0.7728,0.0050000000000000044
7,4000,0.02,0.7672,-0.0006000000000000449
7,4000,0.03,0.7608,-0.007000000000000006
7,6000,0.003,0.781,0.01319999999999999
7,6000,0.005,0.7766,0.008799999999999919
7,6000,0.01,0.7702,0.0023999999999999577
7,6000,0.02,0.762,-0.005800000000000027
7,6000,0.03,0.7596,-0.008199999999999985
7,8000,0.003,0.7752,0.007399999999999962
7,8000,0.005,0.7694,0.0015999999999999348
7,8000,0.01,0.762,-0.005800000000000027
7,8000,0.02,0.7532,-0.014600000000000057
7,8000,0.03,0.7524,-0.01540000000000008
8,400,0.003,0.715,-0.05280000000000007
8,400,0.005,0.718,-0.049800000000000066
8,400,0.01,0.7224,-0.045399999999999996
8,400,0.02,0.7238,-0.04400000000000004
8,400,0.03,0.7258,-0.04200000000000004
8,800,0.003,0.7454,-0.022400000000000087
8,800,0.005,0.7482,-0.019600000000000062
8,800,0.01,0.749,-0.01880000000000004
8,800,0.02,0.7492,-0.01860000000000006
8,800,0.03,0.7464,-0.021400000000000086
8,1200,0.003,0.7544,-0.013400000000000079
8,1200,0.005,0.7574,-0.010400000000000076
8,1200,0.01,0.7616,-0.006199999999999983
8,1200,0.02,0.7596,-0.008199999999999985
8,1200,0.03,0.756,-0.011800000000000033
8,1600,0.003,0.76,-0.007800000000000029
8,1600,0.005,0.7628,-0.0050000000000000044
8,1600,0.01,0.7616,-0.006199999999999983
8,1600,0.02,0.7572,-0.010600000000000054
8,1600,0.03,0.7536,-0.01419999999999999
8,2000,0.003,0.7736,0.005799999999999916
8,2000,0.005,0.7752,0.007399999999999962
8,2000,0.01,0.773,0.005199999999999982
8,2000,0.02,0.7666,-0.0012000000000000899
8,2000,0.03,0.7608,-0.007000000000000006
8,2400,0.003,0.7742,0.006399999999999961
8,2400,0.005,0.7702,0.0023999999999999577
8,2400,0.01,0.7644,-0.0034000000000000696
8,2400,0.02,0.7556,-0.012199999999999989
8,2400,0.03,0.7486,-0.019199999999999995
8,3200,0.003,0.7816,0.013799999999999923
8,3200,0.005,0.779,0.011199999999999988
8,3200,0.01,0.7726,0.0047999999999999154
8,3200,0.02,0.7664,-0.0014000000000000679
8,3200,0.03,0.7596,-0.008199999999999985
8,4000,0.003,0.7702,0.0023999999999999577
